"user","movie","rating"
1131,111,3.5
5501,2288,3.5
2042,2450,1
1494,1580,3.5
378,2858,3.5
2683,780,3.5
3768,3019,2.5
5953,720,3.5
1109,546,3.5
4559,1265,3.5
2629,3834,3
3774,110,3.5
3292,231,3.74327687475711
2105,1573,3.5
692,1711,3.5
352,1274,3.625
1680,446,3.36764705882353
3760,3267,3.99152020351005
5536,3052,3.5
6010,420,3.5
5576,356,5
390,1339,3.61525629593165
4277,3070,3.64544659159186
1447,782,2.5
721,1754,3.66666666666667
2913,6,3
1753,969,4.2561905889963
2800,2125,3.5
4517,1779,4
3763,1722,3.5
1549,804,3.5
2496,2381,2.91666666666667
4750,1265,3
5220,1580,2
62,445,3.625
5349,3247,3.33333333333333
2825,503,4.18181818181818
267,527,3.5
4564,3022,3.5
4083,552,3.58353950235988
2446,3527,3.5
673,2289,1
5345,2485,3.5
2014,913,3.5
5272,1372,3.5
1680,3028,3.29545454545454
5443,1094,3.5
2664,3173,2
1606,653,3.5
1880,1035,4
1443,434,3.5
1597,2365,3.8
1666,2321,3
1155,1523,3
4576,1214,3.5
3039,1937,4.5
90,3386,3
2996,204,1
343,2555,4
3718,2208,3
3265,1972,2.5
4510,2352,2.94634609889395
2102,2068,2.16666666666667
3888,2571,3.5
5284,3360,3.5
2478,111,3.5
4895,357,3.5
2389,1834,3.5
1880,2013,4
4190,1037,3.5
3994,1356,3.5
2840,782,3.5
5017,3654,3.5
1773,2324,3.5
1262,3513,5
4948,1944,4
895,728,3.5
787,2355,3.5
509,597,3
1980,1629,3.10344827586207
248,3863,3.5
1505,590,2
4277,588,3.60122726291524
4502,3168,4
1395,2759,3.5
831,3927,3.5
3997,65,3.33333333333333
245,355,3
3641,1287,3.5
5220,25,2.88177775396385
5976,1358,3.5
509,3701,4
3386,2712,3.5
1433,1431,3.5
1803,494,3.5
3823,1217,3.5
5601,1049,5
163,1744,1.9
1097,3578,3.5
3259,908,3.5
163,2716,1.34075278289589
644,3751,1
3507,2278,1
5040,2023,3.5
2224,32,3.5
1246,2571,1
338,3176,3.5
102,2390,3.5
3735,3283,3.55555555555556
3808,87,2.80645161290323
5886,2406,3.5
2304,2670,3.33333333333333
5956,1258,3
306,2797,3.5
2204,1253,4
1605,328,3.6
3483,3145,4
749,2648,3
3280,185,2
2943,750,3.5
5565,2302,3.5
3565,1732,3
2288,2186,1.33411512845556
3163,2747,3
5376,1678,3.51488612850346
1149,2706,3.5
3821,1176,2.9375
5376,1252,3.5
1835,2752,4
1884,1949,3.66666666666667
693,1610,3.5
1584,3539,2.14285714285714
5232,1022,3.5
5029,448,3.5
1575,1197,3.5
4386,2859,3
205,1129,4.5
2175,1356,5
5747,1784,1.6902074324778
4248,110,2
4907,2046,4
3327,610,3.5
2537,1097,4
2712,592,3.5
914,1247,3.5
3995,1704,3.5
4647,2988,3.41176470588235
3611,3261,5
5317,1946,3.83333333333333
177,904,3.5
5256,1042,2.71982937483187
2352,891,2
1796,3526,3.5
2244,1939,1.125
4326,58,3
4995,728,3.5
3659,1566,2
1687,2336,3
2081,3916,3.5
2769,1394,3.5
5394,2313,3.15416089401821
4058,2496,3.5
1051,671,2.8
1609,3512,2
3401,1602,2.61538461538462
4207,1210,3
1066,3099,3.5
817,2002,3.5
3526,195,2.05882352941176
2507,3408,3.67535652875305
2904,6,4
1439,515,3.5
5615,514,3.5
5888,361,3.5
528,1242,2.64802048984556
5234,2144,3.5
1896,1228,4
4213,423,3.5
5837,1003,3.5
2853,1517,3.5
398,6,3.5
2395,16,3.5
5620,1704,3.5
5269,1054,5
1585,3448,3.5
4482,1783,4
5249,1094,3.5
4845,1193,5
2751,3015,4
5083,493,3.5
4650,19,3.5
846,1097,3.5
4169,2939,3.38235294117647
1617,3555,3.5
4056,1023,3.5
1265,2114,2.5
1861,1252,3.5
5281,1210,3
2761,674,3.5
2731,318,3.5
3780,1259,2
4917,2311,3.5
5734,919,3.5
2148,595,2
504,2066,3.5
5306,2518,2
352,1136,2
533,1333,4
2907,2985,1.95733198319028
5771,1247,3
5090,235,3.5
1093,2990,3.5
2935,1831,3.5
5167,293,3.5
1613,6,2.51851287047251
4879,348,3.5
2060,1393,3.5
1606,3053,3.5
4981,568,4
1758,2407,4.47426578069734
2879,50,3.5
4186,358,3
3643,1204,3.5
4950,253,2
6001,2110,3.5
4304,36,3.5
4508,1590,4
1617,2987,3.5
651,2926,3.5
958,920,4
5925,2407,5
699,3466,2.3
3062,2706,3
3160,260,5
2119,1610,3.5
2106,998,2.125
2010,2231,1
1597,3176,3
5831,2012,3.33883677939213
524,15,3.75
5568,546,3.5
3224,590,2.96961757625336
216,2874,3
98,648,3.5
4517,1271,5
3345,1294,3.5
3681,173,3.5
4203,2064,3
149,1272,3.80130298308522
3329,1089,3.5
2793,924,4
4808,2528,3
5026,3388,1.33333333333333
939,1240,3.5
720,2,3.5
3713,3253,4
5675,292,2.66666666666667
611,1673,3.5
3599,291,3.5
1362,541,3.5
4388,924,3
1314,1388,3.5
4042,497,3.5
3761,457,3.5
1069,650,2.45
5484,2288,3.5
403,1645,2
3539,1220,4.01148341711778
4795,1123,4
3471,3148,3.5
133,2686,4
411,3317,3.2
3999,2866,2
3270,1957,3.5
5482,1379,3.5
4626,750,3.50151733616828
707,2094,3.5
3450,1729,3.5
4601,329,4
4041,3510,3.72417949150532
5706,551,3.5
3480,260,5
1780,3098,3.6319921232991
131,1673,3.45361691795308
4238,2997,1.76210508752279
5277,1183,3.5
851,849,3.5
5929,1690,3.5
4085,1573,4
2562,3793,3.5
3985,549,3.28571428571429
5792,2966,3.5
1525,2936,3.5
3859,318,2
1696,2433,3.5
5077,1230,3.71970742384932
2709,804,3.5
1837,529,2.7583577135231
1605,569,3.29166666666667
4055,466,3.5
1339,1265,1
5831,3428,3.34782608695652
4253,899,3.5
372,1275,3.5
5986,973,3.5
3695,1907,3.5
1661,523,3.5
3353,3704,1
5524,3549,4
3402,2067,4
5643,3551,2.66552951834798
3293,835,3.5
5643,783,2.6675900327862
3067,3620,3.47619047619048
2926,3301,3
1147,1927,3.4
4984,920,3.5
2792,1923,3.5
2665,455,1.93333333333333
278,2646,3.45454545454545
5273,608,3.5
5156,2403,3.5
860,3865,3.5
5788,3208,2
2034,1446,3.5
3274,1199,3
4033,1866,3
1611,2353,3.5
6036,1056,2.88888888888889
2010,2271,2.14285714285714
3713,2918,4
5143,3752,3.5
5508,1097,3
4517,140,2
3500,2701,3.5
5814,34,3.5
4155,1222,3
5403,1517,3.5
308,1517,3.5
716,379,1
5488,1380,4
4180,1608,2
3643,3355,3.5
4869,1394,4
1315,1307,3.5
4797,1485,3.5
1496,1215,2.29525539293446
3201,1573,2
220,3253,3.5
5137,1,3.03029943172004
5200,2571,3.5
3641,1997,4
4305,2875,3.66666666666667
854,1633,3.5
3845,2657,3.5
889,1028,2.43450885005963
4005,3408,5
1324,246,3.5
2425,1408,3.5
5631,1161,4
1639,474,2
5658,2984,4.30011996822271
4510,2334,2.64285714285714
3175,1288,5
393,1186,3.5
406,2871,3.5
3681,1608,3.5
752,1101,2.92508821414279
1069,1804,2.43478260869565
3014,3020,3.5
3044,382,3
1785,3893,3.5
4433,608,1
3929,798,1
1923,3882,2.5
4169,3713,3.2952380952381
2167,3032,1.33333333333333
2051,2722,1.25
396,3261,3.5
5520,494,4
1902,426,3
5675,608,2.93143077000884
5564,2746,3.5
5878,170,3.14285714285714
3882,628,3.5
3110,34,4
1714,34,3
3681,3697,5
5862,2642,5
802,2325,4
4899,50,3.5
4083,3809,3.6344447810434
338,1302,3.5
2242,2761,3.5
115,2135,3.5
4230,1013,3.5
5304,3175,3.5
5156,2355,3.5
3169,110,1
4055,637,3.33333333333333
1605,154,2.91666666666667
5264,2918,3.5
5070,3007,2.5
1632,1127,1.83402421498963
4389,1968,3.5
4508,2767,2.5
3821,929,2.4
426,3793,3.5
1457,1552,3.5
4312,21,1
5197,913,3.5
1320,2028,3.5
2092,1089,3.38815668016563
3498,1620,3.5
2010,3257,1
2827,2985,3.5
3014,2916,3.5
3808,328,2.75
2663,2268,3.5
185,1801,3.5
4167,3767,3.5
5641,552,3.5
5809,1207,3.5
3479,2872,3.5
442,2915,3.5
1150,1963,2.56521739130435
2090,1918,3.5
1598,1196,3.95684135416554
13,1372,3.5
1712,2022,5
1306,1240,3.5
2400,1345,3
3012,904,3.5
3940,1848,3
4508,2248,2.89287151108845
3981,3359,3.5
5007,720,3
5306,2628,1
1626,3018,3.5
148,2423,2.92449171921953
3192,2640,3.5
1356,316,5
2247,916,3.5
729,2023,3.5
3475,762,1
5720,799,3.5
4921,2686,3.5
831,3932,3.5
648,1127,3.5
5841,2110,5
3521,1947,4
4879,497,4.4779891477938
3823,2918,3.5
4169,618,3.63333333333333
3770,28,3.5
3261,1254,2.63682499368428
5848,3285,3.75
660,2009,1.8
4408,2575,3.26315789473684
4834,1459,3
156,3614,3.5
2288,1304,1.32223141619284
4459,551,3.5
1600,1831,4
993,3823,3.5
34,3594,3
3892,2000,3.5
3274,2115,3.5
4404,2959,3.5
5907,905,3.5
26,1588,3.5
5548,475,3
5614,1343,3.5
817,1126,3.5
3622,2028,3.5
4107,673,4
550,2370,3.85714285714286
3976,1270,3.5
2967,288,3.32364742255642
438,2567,3.5
5341,2450,2
5070,1282,2
1425,2165,3.18181818181818
3821,1294,2.27834052697966
329,1359,2.4
2295,1459,3.5
1736,2003,3.5
5347,2082,3.5
963,26,3
3147,2797,4
1206,1253,3.5
3457,1299,3.5
223,553,3.5
3189,1499,3.5
1329,518,3.5
4448,2970,3.77272727272727
1079,208,3.5
2845,1748,3.5
3205,986,3.5
323,356,3.5
5503,1188,3.5
426,3439,3.5
5649,553,3.5
3217,266,4
3724,1016,4
5919,2541,3.5
4758,3555,3.5
3689,435,3.5
5744,1080,4
2651,3763,3.5
4389,1711,3.5
5341,2085,3.5
438,1148,2.5
1740,589,3.5
1941,1249,2.88723379849216
5811,951,4.5
4425,432,3.25
4647,535,3
3378,1517,2.54224582212192
4033,36,2.50396279752657
2737,21,2.87474624422483
3483,3763,3.34276766907546
5084,594,4
954,2918,3.5
5647,2700,3.5
1578,589,3.5
2110,3087,3.5
5955,318,3
649,432,3.5
1155,1587,3.5
1920,3836,3.5
4125,1321,3.5
882,968,3.5
5699,2058,3.5
1755,27,2.71428571428571
5448,1617,3.5
1969,780,3.5
5178,2396,3.5
1806,3253,3.5
2624,904,3.5
2997,1079,3.5
175,1358,3.5
5853,1260,3.5
1279,2333,2.50599316602247
5521,593,3.5
1803,2012,3.5
770,1772,3
3981,2424,3.5
379,1307,3.5
3285,2108,4
2241,923,3.5
1897,2384,3.63500766920796
4748,2539,4
8,377,3.5
5466,2357,3
4054,1092,3.15944545279716
5550,1459,3.5
148,836,4
4064,2162,3.35714285714286
4104,800,3.5
4842,3733,3.5
5647,1265,3.5
5734,1035,5
1246,1205,2.5
3213,2599,4
5540,1028,3.5
2054,1552,3.5
148,2494,3.57142857142857
2724,3007,1.66666666666667
5541,949,3.5
1311,1196,3.39970774100761
1883,2268,3
3652,2798,4
1150,2344,2.65625
2015,379,1.397233464038
261,3441,2.75
324,1278,3.5
389,2324,1
3621,2012,1
4609,1779,4
1950,1222,3.5
131,1172,3.5
3817,517,3.5
735,2628,3.5
3140,589,3.5
2047,2628,3.5
651,1259,4
1434,3618,2.75
509,3300,5
3771,2550,1.4
4253,3052,3.5
303,1912,5
1988,1425,3.66666666666667
1949,1262,3.5
5614,2788,3
5359,2080,3.5
4387,499,3
796,1387,4
1113,1245,4
3328,3845,3.9
3652,1379,4
3827,1627,2.5
2782,5,3.5
5911,1373,3.5
1181,2141,2.86666666666667
3047,1527,3.5
5900,2289,3.5
759,468,3.5
2642,50,3.5
3649,2020,3.5
5466,1224,3.5
4118,1907,3.5
316,2571,3.5
2654,306,3.5
524,3744,3
4423,1198,3.5
5109,2863,4
3715,110,1
2116,1090,3.01021691198792
4434,3147,3
5287,3169,4
1151,2396,3.5
